pinentry 1.1.0-5
pixman 0.38.4-1
pkcs11-helper 1.25.1-2
pkgconf 1.6.3-3
polkit 0.116-1.1
polkit-gnome 0.105-4
polkit-qt5 0.113.0-1
poppler 0.82.0-1
poppler-data 0.4.9-1
poppler-glib 0.82.0-1
popt 1.16-12
powertop 2.11-1
ppp 2.4.7-6
pptpclient 1.10.0-2
procps-ng 3.3.15-2
psmisc 23.3-2
pygobject-devel 3.34.0-3
pygtk 2.24.0-8
python 3.8.1-1
python-appdirs 1.4.3-5
python-asn1crypto 1.2.0-3
python-attrs 19.3.0-3
python-automat 0.8.0-3
python-beaker 1.11.0-3
python-cairo 1.18.2-3
python-cffi 1.13.2-2
python-chardet 3.0.4-4
python-click 7.0-3
python-colorama 0.4.3-1
python-constantly 15.1.0-5
python-cryptography 2.8-1
python-dbus 1.2.14-1
python-dbus-common 1.2.14-1
python-distro 1.4.0-3
python-docopt 0.6.2-7
python-geoip 1.3.2-7
python-gobject 3.34.0-3
python-hyperlink 19.0.0-3
python-idna 2.8-3
python-incremental 17.5.0-4
python-mako 1.0.14-3
python-markupsafe 1.1.1-3
python-npyscreen 4.10.5-4
python-ordered-set 3.1.1-1
python-packaging 19.2-5
python-pillow 6.2.1-1
python-ply 3.11-4
python-psutil 5.6.7-1
python-pyaml 19.12.0-1
python-pyasn1 0.4.8-1
python-pyasn1-modules 0.2.7-1
python-pycparser 2.19-3
python-pycups 1.9.74-3
python-pycurl 7.43.0.3-4
python-pyhamcrest 1.9.0-5
python-pyopenssl 19.1.0-1
python-pyparsing 2.4.6-1
python-pyqt5 5.14.0-3
python-rencode 1.0.6-3
python-requests 2.22.0-3
python-service-identity 18.1.0-3
python-setproctitle 1.1.10-5
python-setuptools 1:42.0.2-1
python-six 1.13.0-2
python-twisted 19.10.0-1
python-ueberzug 18.1.5-2
python-urllib3 1.25.7-1
python-xapp 1.8.1-1
python-xdg 0.26-4
python-xlib 0.26-2
python-yaml 5.1.2-3
python-zope-interface 4.7.1-1
python2 2.7.17-1
python2-cairo 1.18.2-3
python2-gobject2 2.28.7-4
qpdf 9.1.0-1
qt5-base 5.14.0-1
qt5-styleplugins 5.0.0.20170311-18
qt5-svg 5.14.0-1
qt5-x11extras 5.14.0-1
qt5ct 0.41-2
ranger 1.9.2-2
raptor 2.0.15-12
readline 8.0.001-2
reiserfsprogs 3.6.27-3
rest 0.8.1-1
rpcbind 1.2.5-3
rsync 3.1.3-1
rtmpdump 1:2.4.r96.fa8646d-5
run-parts 4.8.6.1-2
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
s-nail 14.9.15-3
sbc 1.4-1
sbxkb 0.7.6-3
